number,title,video_id,url,status,file,error
1,This Simple Garden Trellis Outsells My Complex Projects! ,ND9BHqOjMTI,https://www.youtube.com/watch?v=ND9BHqOjMTI,saved,001 - This Simple Garden Trellis Outsells My Complex Projects!.txt,
2,How to Build a Planter Box with ONLY a Circular Saw. - Make Money Woodworking - Planter Box,hKwbkhotvcY,https://www.youtube.com/watch?v=hKwbkhotvcY,saved,002 - How to Build a Planter Box with ONLY a Circular Saw. - Make Money Woodworking - Planter Box.txt,
3,My Calendar is BOOKED for the next Four Months! Woodworking Side Hustle (FREE PLANS),G-enxu20klM,https://www.youtube.com/watch?v=G-enxu20klM,saved,003 - My Calendar is BOOKED for the next Four Months! Woodworking Side Hustle (FREE PLANS).txt,
4,EASY $100 using Beginner Tools and Cheap Lumber,aMfjRIEgaj4,https://www.youtube.com/watch?v=aMfjRIEgaj4,saved,004 - EASY $100 using Beginner Tools and Cheap Lumber.txt,
5,Simple $25 Planter Box is my 2026 BEST SELLER,ChW3zC-2iNg,https://www.youtube.com/watch?v=ChW3zC-2iNg,saved,005 - Simple $25 Planter Box is my 2026 BEST SELLER.txt,
6,How to Build BASIC Cabinets - Using ONLY OSB!,nqdTAo6HIok,https://www.youtube.com/watch?v=nqdTAo6HIok,saved,006 - How to Build BASIC Cabinets - Using ONLY OSB!.txt,
7,Beginner Table Saw into PROFESSIONAL Work Station,sdq0YvlKhMs,https://www.youtube.com/watch?v=sdq0YvlKhMs,saved,007 - Beginner Table Saw into PROFESSIONAL Work Station.txt,
8,My TOP Money Making Project this Year! Truly Woven. Free Plans.,DJougUCKHzw,https://www.youtube.com/watch?v=DJougUCKHzw,saved,008 - My TOP Money Making Project this Year! Truly Woven. Free Plans..txt,
9,From hobby to BUSINESS! This is the how I setup WHEN to build projects for my Woodworking Business,CseumK08Sg4,https://www.youtube.com/watch?v=CseumK08Sg4,saved,009 - From hobby to BUSINESS! This is the how I setup WHEN to build projects for my Woodworking Business.txt,
10,ANYONE Can Make This Project! 30 Products. One 2x4.,LQ1hYXMLkJs,https://www.youtube.com/watch?v=LQ1hYXMLkJs,saved,010 - ANYONE Can Make This Project! 30 Products. One 2x4..txt,
